Designator,Mid X,Mid Y,Rotation,Layer
C1,115.15,-117.6,180.0,bottom
C2,91.8,-117.99,90.0,bottom
D1,96.89,-118.02,90.0,top
D2,87.2,-118.12,90.0,top
J1,91.228414,-90.25644,0.0,top
J2,106.228414,-90.25644,0.0,top
J3,119.698414,-106.70144,90.0,top
J4,124.008414,-88.98644,0.0,top
J5,139.008414,-88.98644,0.0,top
J6,115.1,-89.18,180.0,bottom
JP1,139.195,-110.0,90.0,top
JP2,104.8,-118.53,180.0,top
JP3,96.51,-110.4,270.0,top
RV1,135.6,-117.6,270.0,top
SW1,115.1525,-118.76,0.0,top
U1,115.13,-120.31,180.0,bottom
